"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20111205029549I","05-DEC-11","SAINT THOMAS","VI","CYRIL E KING","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA23","250","ACE FLIGHT CENTER","","AIR TAXI/COMMUTER","","2589Z","0","0","LYCOMI","IO-540 SER","","","","","","",""
"20111206027669I","06-DEC-11","MORRIS","MN","MORRIS MUNI - CHARLIE SCHMIDT FLD","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","36","A36","","","GENERAL OPERATING RULES","","818DB","0","0","CONT M","IO 550 SERIES","B5F","1","COMMERCIAL PILOT","1220","352","38",""
"20111206028759I","06-DEC-11","READING","PA","READING RGNL/CARL A SPAATZ FIELD","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA34","200","ACE PILOT TRAINING INC","","GENERAL OPERATING RULES","","1078U","0","0","LYCOMI","I0360 SER","CIEF","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","460","17","90",""
"20111206029249I","06-DEC-11","TONTO BASIN","AZ","","INCIDENT","NONE","DESCENT","CESSNA","T210","J","","","GENERAL OPERATING RULES","","2248R","0","0","CONT M","TSIO-520-C","TIO-52","1","COMMERCIAL PILOT","2500","1500","",""
"20111206029989I","06-DEC-11","TWENTYNINE PALMS","CA","TWENTYNINE PALMS","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","NONE","0","0","","","","","","","","",""
"20111207028599I","07-DEC-11","","","INDIANAPOLIS INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","SHORT","SD360","UNDESIGNATED SERIES","AIR CARGO CARRIERS LLC","","AIR TAXI/COMMUTER","","701A","0","0","P & W","PT6A","-65R","","COMMERCIAL PILOT","2250","1400","150",""
"20111208027389I","08-DEC-11","FREMONT","NE","FREMONT MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA46","500TP","","","GENERAL OPERATING RULES","","212WH","0","0","P&W","PT6A SER","-42A","","PRIVATE PILOT","505","115","50",""
"20111208027509I","08-DEC-11","GAINESVILLE","FL","","INCIDENT","MINOR","OTHER-SPECIFY","BELL","OH58C","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","911GV","0","0","ALLISO","250-C20C","AE4060","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","6000","3000","60",""
"20111208027679I","08-DEC-11","KOKOMO","IN","KOKOMO MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","BELLANCA","1730","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","4880V","0","0","CONT M","IO 520 SERIES","","","","","","",""
"20111208029679I","08-DEC-11","HONOLULU","HI","HONOLULU INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","LIBERTY","XL2","NO SERIES EXISTS","ANDERSON AVIATION INC","","PILOT SCHOOLS","","861XL","0","0","CONT M","IOF-240-B","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","470","8","18",""
"20111209027599I","09-DEC-11","CHINO","CA","CHINO","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20E","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5863Q","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","750","500","10",""
"20111209027799I","09-DEC-11","TOMBALL","TX","DAVID WAYNE HOOKS MEMORIAL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA23","160","","","GENERAL OPERATING RULES","","4233P","0","0","LYCOMI","0-320 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1371","73","182",""
"20111209028549I","09-DEC-11","FORT LAUDERDALE","FL","FORT LAUDERDALE/HOLLYWOOD INTL","INCIDENT","NONE","LANDING: TOUCHDOWN","SWEARINGEN","SA226","TC","MONARCH AIR GROUP LLC","","AIR TAXI/COMMUTER","","200PT","0","0","GARRET","TPE331-10UA","","2","","","","",""
"20111209029329I","09-DEC-11","EUREKA","CA","MURRAY FIELD","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA31","350","AMERIFLIGHT LLC","","AIR TAXI/COMMUTER","","4098A","0","0","LYCOMI","TI0-540 SER","","","COMMERCIAL PILOT","670","302","121",""
"20111210027749I","10-DEC-11","HONOLULU","HI","HONOLULU INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","SHORT","SD360","UNDESIGNATED SERIES","TRANS EXECUTIVE AIRLINES OF HAWAII","","AIR TAXI/COMMUTER","","221LM","0","0","U/A CA","PT6A SERIES","67R","","","","","",""
"20111210028769I","10-DEC-11","SPRINGFIELD","MO","","INCIDENT","NONE","DESCENT","CESSNA","172","N","","","GENERAL OPERATING RULES","","737PV","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","104","50","1",""
"20111211027689I","11-DEC-11","FARGO","ND","HECTOR INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BOMBARDIER","CL600 2C10","700","SKYWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","726SK","0","0","GE","CF34 SERIES","","","","","","",""
"20111211027769I","11-DEC-11","EL CAJON","CA","GILLESPIE FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","58","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","898T","0","0","CONT M","IO 520 SERIES","","2","PRIVATE PILOT","2500","","",""
"20111211027829I","11-DEC-11","SLIDELL","LA","SLIDELL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","35","M35","NASA","","GENERAL OPERATING RULES","","118DC","0","0","CONT M","I0-470 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","8100","50","43",""
"20111211028559I","11-DEC-11","KEENE","NH","DILLANT-HOPKINS","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","140","","","GENERAL OPERATING RULES","","9664W","0","0","LYCOMI","0-320 SERIES","","","STUDENT","90","90","9",""
"20111211029431I","11-DEC-11","SEATTLE","WA","BOEING FIELD/KING COUNTY INTL","INCIDENT","MINOR","GROUND-RAMP","BOMBARDIER","BD100 1A10","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","54HA","0","0","HONEYW","AS907-1-1A","","","AIRLINE TRANSPORT","15901","532","70",""
"20111212028079I","12-DEC-11","JACKSON","MI","JACKSON COUNTY-REYNOLDS FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","19","B19","","","GENERAL OPERATING RULES","","4351W","0","0","LYCOMI","0-320 SERIES","O-320","1","PRIVATE PILOT","450","325","3",""
"20111213027729I","13-DEC-11","SARASOTA","FL","SARASOTA/BRADENTON INTL","INCIDENT","NONE","LANDING: ROLLOUT","VANS","RV8","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","62TN","0","0","AMA/EX","SUPERIOR AIRP","XP 360","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","6764","455","22",""
"20111213027809I","13-DEC-11","NORTH PLATTE","NE","NORTH PLATTE RGNL AIRPORT LEE BIRD FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","SWEARINGEN","SA227","AC","KEY LIME AIR CORPORATION","","AIR TAXI/COMMUTER","","788KL","0","0","HONEYW","TPE331-11U","","","AIRLINE TRANSPORT","3500","300","200",""
"20111213028979I","13-DEC-11","CANTWELL","AK","CANTWELL","INCIDENT","MINOR","UNKNOWN","BELL","407","NO SERIES EXISTS","MARITIME HELICOPTERS INC","","AIR TAXI/COMMUTER","","309MH","0","0","ROLLS-","250-C47B","","1","AIRLINE TRANSPORT","6031","73","50",""
"20111213029729I","13-DEC-11","SAVANNAH","GA","SAVANNAH/HILTON HEAD INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","33","35C33","","","GENERAL OPERATING RULES","","5863S","0","0","CONT M","I0-470 SERIES","","","PRIVATE PILOT","1373","1007","10",""
"20111214027759I","14-DEC-11","OZARK","AL","BLACKWELL FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","310","N","","","GENERAL OPERATING RULES","","110BC","0","0","CONT M","I0-470 SERIES","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","18450","750","15",""
"20111215030139I","15-DEC-11","ZEPHYRHILLS","FL","ZEPHYRHILLS MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA32R","300","","","GENERAL OPERATING RULES","","424TP","0","0","LYCOMI","TI0-540 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","3800","600","30",""
"20111216028109I","16-DEC-11","ANAKTUVUK PASS","AK","ANAKTUVUK PASS","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","208","B","WRIGHT AIR SERVICE INC","","AIR TAXI/COMMUTER","","32WA","0","0","","","","1","COMMERCIAL PILOT","3500","500","229",""
"20111216028629I","16-DEC-11","MERRITT ISLAND","FL","MERRITT ISLAND","INCIDENT","SUBSTANTIAL","LANDING: ROLLOUT","PIPER","PA28","161","","","GENERAL OPERATING RULES","","601FT","0","0","LYCOMI","0-320 SERIES","","","STUDENT","26","26","26",""
"20111216029469I","16-DEC-11","CALHAN","CO","COLORADO SPRINGS EAST","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20E","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9440V","0","0","","","","1","PRIVATE PILOT","419","158","",""
"20111216029789I","16-DEC-11","ADDISON","TX","ADDISON","INCIDENT","NONE","LANDING: TOUCHDOWN","CESSNA","177RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","7592V","0","0","LYCOMI","IO-360-A1B6D","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","358","95","13",""
"20111217028169I","17-DEC-11","TOMBALL","TX","DAVID WAYNE HOOKS MEMORIAL","INCIDENT","MINOR","TAXI","VANS","RV4","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","223WM","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","985","585","45",""
"20111217029309I","17-DEC-11","BYRON","CA","BYRON","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","132SS","0","0","NONE","NONE","","","PRIVATE PILOT","350","50","4",""
"20111218028249I","18-DEC-11","PETERSBURG","VA","DINWIDDIE COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","180","","","GENERAL OPERATING RULES","","7765W","0","1","LYCOMI","O&VO-360 SER","","","STUDENT","21","21","6",""
"20111218028859I","18-DEC-11","HILTON HEAD ISLAND","SC","HILTON HEAD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","210","L","","","GENERAL OPERATING RULES","","210BR","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4582","930","90",""
"20111218028939I","18-DEC-11","FREMONT","NE","FREMONT MUNI","INCIDENT","SUBSTANTIAL","TAXI","","","","","","GENERAL OPERATING RULES","","7070X","0","1","LYCOMI","O-235-C1A","","","PRIVATE PILOT","750","1","1",""
"20111218029259I","18-DEC-11","FORT WORTH","TX","FORT WORTH ALLIANCE","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","100","B100","","","GENERAL OPERATING RULES","","234TK","0","0","AIRESE","TPE331 SERIES","","2","AIRLINE TRANSPORT","9500","450","60",""
"20111218029369I","18-DEC-11","FORT LAUDERDALE","FL","","INCIDENT","NONE","TAKEOFF: CLIMB OUT","LEARJET","25","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","79EV","0","0","GE","CJ610-5&6","UNKNOW","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2000","200","200",""
"20111218029479I","18-DEC-11","ANCHORAGE","AK","MERRILL FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","207","A","SPERNAK AIRWAYS INC","","AIR TAXI/COMMUTER","","73047","0","0","CONT M","IO 520 SERIES","248014","1","COMMERCIAL PILOT","4000","1200","105",""
"20111218029699I","18-DEC-11","HONOLULU","HI","HONOLULU INTL","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","177RG","NO SERIES EXISTS","GEORGES AVIATION SERVICES","","GENERAL OPERATING RULES","","5269D","0","0","","","","1","","","","",""
"20111218030129I","18-DEC-11","","PA","WASHINGTON COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","177RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","2058Q","0","0","LYCOMI","IO-360-A1B6D","","1","PRIVATE PILOT","170","12","19",""
"20111219028149I","19-DEC-11","FAIRBANKS","AK","","INCIDENT","MINOR","GROUND-RAMP","DE HAVILLAND","DHC8","103","ERA AVIATION INC","","AIR CARRIER/COMMERCIAL","","882EA","0","0","NONE","NONE","","","AIRLINE TRANSPORT","20700","5000","220",""
"20111219028252I","19-DEC-11","CHATTANOOGA","TN","LOVELL FIELD","INCIDENT","MINOR","TAXI","CESSNA","172","R","","","GENERAL OPERATING RULES","","52057","0","0","LYCOMI","IO-360-L2A","","1","STUDENT","45","43","20",""
"20111219028309I","19-DEC-11","TUCSON","AZ","RYAN FIELD","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","GRUMMAN","AA1","B","","","GENERAL OPERATING RULES","","6525L","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","246","146","14",""
"20111219028969I","19-DEC-11","","","HAHN","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","BOEING","747","212B","EVERGREEN INTERNATIONAL AIRLINES INC","","AIR CARRIER/COMMERCIAL","","486EV","0","0","P & W","JT9D SERIES","JT9D7J","","","","","",""
"20111219029839I","19-DEC-11","OCALA","FL","OCALA INTL-JIM TAYLOR FIELD","INCIDENT","NONE","GROUND-RAMP","PIPER","PA28","161","ORLANDO FLIGHT TRAINING","","PILOT SCHOOLS","","536CA","0","0","LYCOMI","O-320-D3G","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","620","260","109",""
"20111219030399I","19-DEC-11","BUSHKILL","PA","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA32R","300","","","GENERAL OPERATING RULES","","221WG","0","0","LYCOMI","TIO 540 SER","540","","COMMERCIAL PILOT","","","",""
"20111220028129I","20-DEC-11","SPRING BRANCH","TX","CANYON LAKE","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","N","","","GENERAL OPERATING RULES","","4918G","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","140","60","30",""
"20111220029739I","20-DEC-11","MESA","AZ","PHOENIX-MESA GATEWAY","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","200","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","200EW","0","0","P&W CA","PT6A-42","PCE-94","2","PRIVATE PILOT","4200","300","10",""
"20111221028279I","21-DEC-11","FRESNO","CA","FRESNO YOSEMITE INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA38","112","GOLDEN EAGLE ENTERPRISES INC","","PILOT SCHOOLS","","2382V","0","0","LYCOMI","0-235 SERIES","L22687","","","","","",""
"20111221029169I","21-DEC-11","PHOENIX","AZ","PHOENIX DEER VALLEY","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","181","FLIGHT QUEST AVIATION INC","","PILOT SCHOOLS","","425PA","0","0","LYCOMI","0-360-A1D","","","STUDENT","40","40","40",""
"20111221029179I","21-DEC-11","SPRINGFIELD","MO","SPRINGFIELD-BRANSON NATIONAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","501","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","909PS","0","0","","","","2","AIRLINE TRANSPORT","3200","450","175",""
"20111221029339I","21-DEC-11","SPOKANE","WA","SPOKANE INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BOEING","757","222","UNITED AIR LINES INC","","AIR CARRIER/COMMERCIAL","","520UA","0","0","","","","","","","","",""
"20111222028609I","22-DEC-11","TEA","SD","MARV SKIE-LINCOLN COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172RG","NO SERIES EXISTS","QUEST AVIATION INC","","GENERAL OPERATING RULES","","9791B","0","0","LYCOMI","O-360","F1A6","1","PRIVATE PILOT","478","7","8",""
"20111222028949I","22-DEC-11","MYRTLE BEACH","SC","MYRTLE BEACH INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","NANCHANG","CJ6","A","","","GENERAL OPERATING RULES","","8120C","0","0","ZHUZHO","HS6A","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2117","109","20",""
"20111222029149I","22-DEC-11","CAHOKIA","IL","ST LOUIS DOWNTOWN","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","BEECH","33","F33A","","","GENERAL OPERATING RULES","","3049W","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT","2751","","1",""
"20111222029509I","22-DEC-11","DENVER","CO","DENVER INTL","INCIDENT","MINOR","GROUND-RAMP","BOEING","737","7H4","SOUTHWEST AIRLINES CO","","AIR CARRIER/COMMERCIAL","","469WN","0","0","CFM IN","CFM56 SERIES","","","","","","",""
"20111222029719I","22-DEC-11","FLAGSTAFF","AZ","FLAGSTAFF PULLIAM","INCIDENT","MINOR","LANDING: TOUCHDOWN","DIAMOND","DA42","NG","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","593ER","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4211","50","133",""
"20111222030189I","22-DEC-11","CHINO","CA","CHINO","INCIDENT","MINOR","TAXI","VANS","RV7","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","377LD","0","0","LYCOMI","IO-360-A1B","","","AIRLINE TRANSPORT","10000","140","100",""
"20111223028929I","23-DEC-11","MANASSAS","VA","MANASSAS RGNL/HARRY P. DAVIS FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9415B","0","0","LYCOMI","O&VO-360 SER","360-SE","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2552","35","",""
"20111223029559I","23-DEC-11","SAINT LOUIS","MO","CREVE COEUR","INCIDENT","MINOR","LANDING: ROLLOUT","CIRRUS","SR20","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","101ED","0","0","CONT M","IO-360 SER","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","3980","20","70",""
"20111223029609I","23-DEC-11","CINCINNATI","OH","CINCINNATI MUNI AIRPORT LUNKEN FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","CIRRUS","SR22","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","1640C","0","0","","","","1","","","","",""
"20111223029929I","23-DEC-11","DEXTER","KS","","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","24","A24R","","","GENERAL OPERATING RULES","","9706L","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","2408","2023","15",""
"20111224028349I","24-DEC-11","KEENE","NH","","INCIDENT","NONE","MANEUVER","CESSNA","150","E","","","GENERAL OPERATING RULES","","3019J","0","0","CONT M","0-200 SERIES","","1","STUDENT","61","46","25",""
"20111224029159I","24-DEC-11","SANTA ANA","CA","JOHN WAYNE AIRPORT-ORANGE COUNTY","INCIDENT","MINOR","DESCENT","DIAMOND","DA40","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","134PS","0","1","LYCOMI","I0360 SER","","","PRIVATE PILOT","200","100","10",""
"20111224029969I","24-DEC-11","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BELLANCA","1730","A","","","GENERAL OPERATING RULES","","14705","0","0","CONT M","IO 520 SERIES","","","","","","",""
"20111225028989I","25-DEC-11","MORRISTOWN","NJ","MORRISTOWN MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20F","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6797V","0","0","LYCOMI","I0360 SER","","1","COMMERCIAL PILOT","1188","100","25",""
"20111225029519I","25-DEC-11","RICHFIELD","UT","RICHFIELD MUNI","INCIDENT","SUBSTANTIAL","TAXI","","","","","","GENERAL OPERATING RULES","","582RG","0","0","BOMBAR","ROTAX (ALL)","","","PRIVATE PILOT","645","","",""
"20111225029939I","25-DEC-11","BALTIMORE","MD","BALTIMORE/WASHINGTON INTL THURGOOD MARSHAL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","MCDONNELL DOUGLAS","MD88","88","DELTA AIR LINES INC","","AIR CARRIER/COMMERCIAL","","916DL","0","0","P & W","JT8D SERIES","","","","","","",""
"20111225029979I","25-DEC-11","GALLATIN","TN","SUMNER COUNTY RGNL","INCIDENT","MINOR","TAXI","MOONEY","M20J","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","201BV","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","720","150","7",""
"20111226028319I","26-DEC-11","REDDING","CA","REDDING MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","35","C35","","","GENERAL OPERATING RULES","","94V","0","0","CONT M","","","","PRIVATE PILOT","2300","101","30",""
"20111226030049I","26-DEC-11","EAGLE PASS","TX","MAVERICK COUNTY MEMORIAL INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20K","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","921Z","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","","","",""
"20111227029199I","27-DEC-11","SUGAR LAND","TX","SUGAR LAND RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","55","95B55","","","GENERAL OPERATING RULES","","9056Q","0","0","CONT M","I0-470 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","3500","300","14",""
"20111227029229I","27-DEC-11","LAKEVIEW","AR","GASTONS","INCIDENT","MINOR","TAKEOFF: DEPARTURE","PIPER","PA28","180","","","GENERAL OPERATING RULES","","992TF","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","916","333","10",""
"20111227029359I","27-DEC-11","SACRAMENTO","CA","SACRAMENTO INTL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","BOEING","737","3H4","SOUTHWEST AIRLINES CO","","AIR CARRIER/COMMERCIAL","","621SW","0","0","CFM IN","CFM56 SERIES","","","","","","",""
"20111227029399I","27-DEC-11","PERRIS","CA","PERRIS VALLEY","INCIDENT","NONE","LANDING: TOUCHDOWN","DE HAVILLAND","DHC6","300","","","PARACHUTE JUMPING","","708PV","1","0","P&W","PT6A SER","","","","","","",""
"20111227029669I","27-DEC-11","SALT LAKE CITY","UT","SALT LAKE CITY INTL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","EMBRAER","EMB120","ER","SKYWEST AIRLINES INC","","GENERAL OPERATING RULES","","299SW","0","0","P&W CA","PW118","","","AIRLINE TRANSPORT","6886","174","174",""
"20111227029809I","27-DEC-11","CHARLOTTE","NC","CHARLOTTE/DOUGLAS INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","DE HAVILLAND","DHC8","311","PIEDMONT AIRLINES INC","","AIR CARRIER/COMMERCIAL","","328EN","0","0","P&W CA","PW123","","","AIRLINE TRANSPORT","11345","9832","189",""
"20111227029909I","27-DEC-11","BURLESON","TX","FORT WORTH SPINKS","INCIDENT","MINOR","LANDING: TOUCHDOWN","LANCAIR","320","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","425A","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","297","167","3",""
"20111228028339I","28-DEC-11","SACRAMENTO","CA","SACRAMENTO INTL","INCIDENT","MINOR","LANDING: APPROACH","AIRBUS","A319","132","AIR WISCONSIN INC","","AIR CARRIER/COMMERCIAL","","810AW","0","0","IAE","V2500SERIES","","","","","","",""
"20111228029189I","28-DEC-11","GILBERT","LA","","INCIDENT","MINOR","LANDING: TOUCHDOWN","AIR TRACTOR","AT602","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","602AP","0","0","P&W CA","PT6A-60AG","","","COMMERCIAL PILOT","4000","2","100",""
"20111228029279I","28-DEC-11","GRANTS","NM","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA32R","300","","","GENERAL OPERATING RULES","","1723H","0","0","LYCOMI","TI0-540 SER","KIG5D","","COMMERCIAL PILOT","1822","175","12",""
"20111228029649I","28-DEC-11","AVALON","CA","CATALINA","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","TR182","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5JB","0","0","LYCOMI","O-540-L3C5D","0-540","1","COMMERCIAL PILOT","2370","1200","5",""
"20111229028789I","29-DEC-11","","NC","LINCOLNTON-LINCOLN COUNTY RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA32RT","300T","","","GENERAL OPERATING RULES","","828SR","0","0","LYCOMI","TI0-540 SER","","","PRIVATE PILOT","867","332","2",""
"20111230029709I","30-DEC-11","TORRANCE","CA","ZAMPERINI FIELD","INCIDENT","MINOR","LANDING: APPROACH","BEECH","24","C24R","","","GENERAL OPERATING RULES","","3803B","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2276","1585","3",""
"20111230029749I","30-DEC-11","FORT PIERCE","FL","ST LUCIE COUNTY INTL","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","49DJ","0","0","ROTAX","912S","","","PRIVATE PILOT","600","50","40",""
"20111230029799I","30-DEC-11","BATON ROUGE","LA","BATON ROUGE METROPOLITAN, RYAN FIELD","INCIDENT","NONE","TAXI","BOMBARDIER","CL600 2C10","700","ATLANTIC SOUTHEAST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","741EV","0","0","GE","CF34 SERIES","","","AIRLINE TRANSPORT","8226","1342","159",""
"20111230030009I","30-DEC-11","KENNESAW","GA","COBB COUNTY-MC COLLUM FIELD","INCIDENT","MINOR","TAKEOFF: DEPARTURE","","","","","","GENERAL OPERATING RULES","","31BD","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","1150","800","",""
"20111230030089I","30-DEC-11","TUCSON","AZ","RYAN FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CIRRUS","SR20","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5024E","0","0","CONT M","IO-360 SER","","1","PRIVATE PILOT","","","",""
"20111230030199I","30-DEC-11","AUSTIN","TX","AUSTIN-BERGSTROM INTL","INCIDENT","MINOR","TAXI","CESSNA","172","S","","","GENERAL OPERATING RULES","","66103","0","0","LYCOMI","IO-360-L2A","","1","PRIVATE PILOT","698","66","8",""
"20111231029539I","31-DEC-11","SALT LAKE CITY","UT","SALT LAKE CITY INTL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA34","220T","","","GENERAL OPERATING RULES","","104WT","0","0","CONT M","TSIO-360 SER","","","PRIVATE PILOT","1850","1510","11",""
"20120101000129I","01-JAN-12","ZEPHYRHILLS","FL","ZEPHYRHILLS MUNI","INCIDENT","NONE","OTHER-SPECIFY","","","","","","PARACHUTE JUMPING","","NONE","1","0","","","","","","","","",""
